CustomerID,FirstName,LastName,Gender,DateOfBirth,Email,Phone,Country,City,State,PostalCode,RegistrationDate,CustomerSegment,LoyaltyTier,IsActive,PreferredLanguage,MarketingOptIn
C00000001,Sophia,Brown,Non-Binary,1977-05-31,sophia.brown1@globalretail.com,+13492655486,United Kingdom,London,England,86387,2020-07-16,Consumer,Silver,True,en,True
C00000002,Emma,Davis,Non-Binary,1978-03-27,emma.davis2@globalretail.com,+55163469421,United Kingdom,London,England,84115,2022-09-12,Consumer,Bronze,True,en,False
C00000003,Amelia,Smith,Male,1976-05-22,amelia.smith3@globalretail.com,+6697714383,Germany,Berlin,Berlin,27455,2024-06-12,Consumer,Silver,True,de,True
C00000004,Emma,Taylor,Non-Binary,1978-10-15,emma.taylor4@globalretail.com,+74786028113,United States,New York,NY,34624,2022-01-10,Consumer,Bronze,True,en,False
C00000005,Emma,Taylor,Non-Binary,1996-06-07,emma.taylor5@globalretail.com,+69559123743,United States,New York,NY,51175,2022-04-23,Consumer,Silver,True,en,True
C00000006,Noah,Williams,Non-Binary,1977-11-02,noah.williams6@globalretail.com,+39663925448,Italy,Milan,Lombardy,74895,2022-09-26,Consumer,Gold,True,it,True
C00000007,Amelia,Johnson,Female,1981-07-25,amelia.johnson7@globalretail.com,+20625020128,United States,New York,NY,65272,2024-09-08,Consumer,Gold,True,en,False
C00000008,Lucas,Taylor,Non-Binary,1989-06-03,lucas.taylor8@globalretail.com,+45738199795,Italy,Milan,Lombardy,75100,2023-07-09,Consumer,Silver,True,it,True
C00000009,Noah,Wilson,Non-Binary,1976-11-20,noah.wilson9@globalretail.com,+90432438386,France,Paris,Île-de-France,94820,2020-09-23,Consumer,Gold,True,fr,True
C00000010,Isabella,Davis,Female,1975-03-06,isabella.davis10@globalretail.com,+46280440569,Spain,Madrid,Madrid,90074,2023-11-22,Consumer,Silver,True,es,True
C00000011,Noah,Brown,Female,1991-09-14,noah.brown11@globalretail.com,+11278634438,Italy,Milan,Lombardy,68875,2024-06-17,Consumer,Silver,True,it,True
C00000012,James,Moore,Non-Binary,1990-04-05,james.moore12@globalretail.com,+49347767551,United States,New York,NY,29781,2024-08-28,Consumer,Bronze,True,en,True
C00000013,Michael,Williams,Female,1985-12-13,michael.williams13@globalretail.com,+1256418835,United States,New York,NY,64912,2022-01-16,Consumer,Bronze,True,en,False
C00000014,Sophia,Brown,Non-Binary,2001-11-13,sophia.brown14@globalretail.com,+87894337824,France,Paris,Île-de-France,17076,2025-10-12,Consumer,Platinum,True,fr,False
C00000015,James,Davis,Non-Binary,1995-10-07,james.davis15@globalretail.com,+52166838090,United Kingdom,London,England,34983,2021-02-28,Consumer,Bronze,True,en,True
C00000016,Emma,Miller,Non-Binary,1974-03-05,emma.miller16@globalretail.com,+20676189932,Germany,Berlin,Berlin,23299,2021-02-23,Consumer,Silver,True,de,True
C00000017,Liam,Taylor,Non-Binary,1989-09-30,liam.taylor17@globalretail.com,+47609116260,United Kingdom,London,England,26101,2022-10-30,Consumer,Silver,True,en,True
C00000018,Charlotte,Jones,Female,2007-10-17,charlotte.jones18@globalretail.com,+95384280550,United States,New York,NY,72733,2021-02-22,Small Business,Bronze,True,en,True
C00000019,Liam,Moore,Male,2015-03-04,liam.moore19@globalretail.com,+98667053193,United Kingdom,London,England,49071,2026-02-02,Small Business,Bronze,True,en,True
C00000020,Lucas,Miller,Male,2008-10-16,lucas.miller20@globalretail.com,+69681503267,Canada,Toronto,Ontario,75889,2023-12-27,Consumer,Gold,True,en,False
C00000021,Liam,Williams,Non-Binary,1983-02-18,liam.williams21@globalretail.com,+64481782371,Italy,Milan,Lombardy,13798,2022-07-17,Consumer,Bronze,True,it,True
C00000022,Liam,Garcia,Non-Binary,1994-03-24,liam.garcia22@globalretail.com,+45491524801,Germany,Berlin,Berlin,20556,2023-11-11,Consumer,Bronze,True,de,True
C00000023,Liam,Miller,Non-Binary,1995-09-03,liam.miller23@globalretail.com,+45958610934,United States,New York,NY,94296,2020-01-08,Consumer,Gold,True,en,True
C00000024,Isabella,Williams,Non-Binary,1993-08-18,isabella.williams24@globalretail.com,+43193146944,United Kingdom,London,England,61883,2022-01-01,Consumer,Silver,False,en,True
C00000025,Isabella,Brown,Male,1975-05-27,isabella.brown25@globalretail.com,+76599669927,United States,New York,NY,95964,2021-06-04,Consumer,Silver,True,en,True
C00000026,Michael,Miller,Male,1980-01-16,michael.miller26@globalretail.com,+2958303050,United States,New York,NY,95154,2026-02-23,Consumer,Silver,False,en,True
C00000027,James,Williams,Female,1975-06-03,james.williams27@globalretail.com,+28414570548,Spain,Madrid,Madrid,75688,2022-05-14,Consumer,Platinum,True,es,True
C00000028,Noah,Moore,Non-Binary,1976-11-23,noah.moore28@globalretail.com,+46591946611,United Kingdom,London,England,96831,2021-06-20,Consumer,Silver,True,en,True
C00000029,Olivia,Moore,Female,1975-01-02,olivia.moore29@globalretail.com,+24753430573,United States,New York,NY,10515,2025-09-22,Corporate,Bronze,True,en,True
C00000030,Charlotte,Taylor,Female,1976-12-07,charlotte.taylor30@globalretail.com,+88656572693,Italy,Milan,Lombardy,79563,2026-03-29,Consumer,Silver,False,it,True
C00000031,Lucas,Smith,Male,1976-01-22,lucas.smith31@globalretail.com,+65585520203,United States,New York,NY,83626,2023-02-08,Consumer,Platinum,True,en,True
C00000032,Sophia,Taylor,Non-Binary,1983-02-10,sophia.taylor32@globalretail.com,+36585702592,Netherlands,Amsterdam,North Holland,76605,2025-09-28,Consumer,Silver,True,nl,True
C00000033,Isabella,Moore,Male,1999-04-07,isabella.moore33@globalretail.com,+58247246981,Spain,Madrid,Madrid,64609,2022-11-29,Consumer,Silver,True,es,True
C00000034,Emma,Martin,Non-Binary,1983-09-15,emma.martin34@globalretail.com,+39941744891,United States,New York,NY,26036,2020-10-26,Corporate,Bronze,True,en,False
C00000035,Michael,Miller,Male,1995-02-23,michael.miller35@globalretail.com,+96201066429,United States,New York,NY,62200,2021-07-16,Consumer,Bronze,True,en,True
C00000036,Olivia,Garcia,Female,1992-04-12,olivia.garcia36@globalretail.com,+54310179237,United Kingdom,London,England,56742,2025-10-12,Consumer,Bronze,True,en,True
C00000037,John,Miller,Male,2005-09-15,john.miller37@globalretail.com,+50455943145,Germany,Berlin,Berlin,77821,2024-12-09,Consumer,Bronze,True,de,True
C00000038,Emma,Williams,Female,1977-12-08,emma.williams38@globalretail.com,+35142507489,Netherlands,Amsterdam,North Holland,33796,2021-03-05,Consumer,Platinum,True,nl,True
C00000039,Michael,Jones,Non-Binary,1997-04-04,michael.jones39@globalretail.com,+64852067507,United Kingdom,London,England,52866,2026-01-06,Consumer,Bronze,True,en,False
C00000040,Olivia,Davis,Non-Binary,1974-12-02,olivia.davis40@globalretail.com,+12960742147,Canada,Toronto,Ontario,44151,2023-01-06,Consumer,Silver,True,en,True
C00000041,Noah,Johnson,Female,1998-12-22,noah.johnson41@globalretail.com,+35767549003,United Kingdom,London,England,26937,2023-10-21,Consumer,Silver,True,en,True
